logical_position_id,position_ticket,entry_deal_count,exit_deal_count,entry_volume,exit_volume,weighted_exit_price,reported_exit_price,reported_r,portfolio_reported_r,recomputed_r,volume_match,weighted_exit_match,r_match
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20251118,418,1,1,0.24,0.24000000,4064.03000000,4064.03,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20251119,420,1,1,0.87,0.87000000,4090.56000000,4090.56,2.0000,2.0000000000004925,2.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|1:1|1:4|17:ASIA_LOW|20251120,422,1,1,0.29,0.29000000,4062.75000000,4062.7500000000005,1.9988,1.9987775061124429,1.99877751,true,true,true
MSZZC1|6:XAUUSD|1:5|1:1|1:4|17:ASIA_LOW|20251121,424,1,1,0.26,0.26000000,4060.98000000,4060.98,2.0000,2.0000000000000497,2.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20251121,426,1,1,0.14,0.14000000,4050.42000000,4050.4199999999996,2.0006,2.000585823081442,2.00058582,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20251124,428,1,1,0.28,0.28000000,4086.03000000,4086.0299999999997,-1.0000,-0.9999999999999483,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|1:1|1:4|17:ASIA_LOW|20251125,430,1,1,0.34,0.34000000,4120.42000000,4120.42,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20251125,432,1,1,0.35,0.35000000,4138.73000000,4138.73,2.0000,2.0,2.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20251126,434,1,1,0.41,0.41000000,4172.76000000,4172.76,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|1:1|1:4|17:ASIA_LOW|20251128,436,1,1,0.22,0.22000000,4154.69000000,4154.69,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20251128,438,1,1,0.2,0.20000000,4201.45000000,4201.45,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20251201,440,1,1,0.32,0.32000000,4262.57000000,4262.57,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|1:1|1:4|17:ASIA_LOW|20251202,442,1,1,0.19,0.19000000,4217.58000000,4217.58,2.0000,2.0,2.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|1:1|1:4|17:ASIA_LOW|20251203,444,1,1,0.36,0.36000000,4199.34000000,4199.34,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20251203,446,1,1,0.14,0.14000000,4240.86000000,4240.86,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20251204,448,1,1,0.73,0.73000000,4209.46000000,4209.46,2.0000,1.9999999999997284,2.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20251205,450,1,1,0.67,0.67000000,4224.74000000,4224.74,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|1:1|1:4|17:ASIA_LOW|20251205,452,1,1,0.44,0.44000000,4191.69000000,4191.69,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20251208,454,1,1,0.55,0.55000000,4218.73000000,4218.73,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|1:1|1:4|17:ASIA_LOW|20251208,456,1,1,0.14,0.14000000,4175.94000000,4175.94,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|1:1|1:4|17:ASIA_LOW|20251209,458,1,1,0.51,0.51000000,4188.25000000,4188.25,2.0000,2.0000000000001923,2.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20251209,460,1,1,0.36,0.36000000,4204.94000000,4204.94,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|1:1|1:4|17:ASIA_LOW|20251210,462,1,1,0.46,0.46000000,4199.89000000,4199.89,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20251210,464,1,1,0.31,0.31000000,4197.05000000,4197.05,2.0000,2.0,2.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|1:1|1:4|17:ASIA_LOW|20251211,466,1,1,0.42,0.42000000,4221.33000000,4221.33,2.0000,1.999999999999841,2.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20251212,468,1,1,0.1,0.10000000,4278.67000000,4278.67,-0.0710,-0.07098638052002564,-0.07098638,true,true,true
MSZZC1|6:XAUUSD|1:5|1:1|1:4|17:ASIA_LOW|20251212,470,1,1,0.1,0.10000000,4323.77000000,4323.77,2.0000,2.0,2.00000000,true,true,true
