strategy,feature,bucket,operator,threshold,canonical,trades,cumulative_r,expectancy_r,note
CompressionBreakout,directional_efficiency,STRONG,gt,0.65,true,1,2.000000,2.000000,offline entry-time sensitivity; classifier and executions unchanged
CompressionBreakout,directional_efficiency,STRONG,gt,0.70,false,0,0.000000,,offline entry-time sensitivity; classifier and executions unchanged
CompressionBreakout,compression_ratio,LOW_COMPRESSION_RATIO,lt,0.30,false,64,-1.527600,-0.023869,offline entry-time sensitivity; classifier and executions unchanged
CompressionBreakout,compression_ratio,LOW_COMPRESSION_RATIO,lt,0.35,true,82,-3.736700,-0.045570,offline entry-time sensitivity; classifier and executions unchanged
CompressionBreakout,compression_ratio,LOW_COMPRESSION_RATIO,lt,0.40,false,82,-3.736700,-0.045570,offline entry-time sensitivity; classifier and executions unchanged
StructureTransition,normalized_atr,CONTRACTING,lt,0.75,false,6,-3.000000,-0.500000,offline entry-time sensitivity; classifier and executions unchanged
StructureTransition,normalized_atr,CONTRACTING,lt,0.80,true,8,-4.189200,-0.523650,offline entry-time sensitivity; classifier and executions unchanged
StructureTransition,normalized_atr,CONTRACTING,lt,0.85,false,8,-4.189200,-0.523650,offline entry-time sensitivity; classifier and executions unchanged
StructureTransition,normalized_atr,EXPANDING,gt,1.15,false,9,-3.000000,-0.333333,offline entry-time sensitivity; classifier and executions unchanged
StructureTransition,normalized_atr,EXPANDING,gt,1.20,true,8,-2.000000,-0.250000,offline entry-time sensitivity; classifier and executions unchanged
StructureTransition,normalized_atr,EXPANDING,gt,1.25,false,7,-4.000000,-0.571429,offline entry-time sensitivity; classifier and executions unchanged
StructureTransition,directional_efficiency,WEAK,lt,0.30,false,17,-1.189200,-0.069953,offline entry-time sensitivity; classifier and executions unchanged
StructureTransition,directional_efficiency,WEAK,lt,0.35,true,17,-1.189200,-0.069953,offline entry-time sensitivity; classifier and executions unchanged
StructureTransition,directional_efficiency,WEAK,lt,0.40,false,18,-2.189200,-0.121622,offline entry-time sensitivity; classifier and executions unchanged
StructureTransition,directional_efficiency,STRONG,gt,0.60,false,1,-1.000000,-1.000000,offline entry-time sensitivity; classifier and executions unchanged
StructureTransition,directional_efficiency,STRONG,gt,0.65,true,0,0.000000,,offline entry-time sensitivity; classifier and executions unchanged
StructureTransition,directional_efficiency,STRONG,gt,0.70,false,0,0.000000,,offline entry-time sensitivity; classifier and executions unchanged
StructureTransition,compression_ratio,LOW_COMPRESSION_RATIO,lt,0.30,false,3,0.000000,0.000000,offline entry-time sensitivity; classifier and executions unchanged
StructureTransition,compression_ratio,LOW_COMPRESSION_RATIO,lt,0.35,true,4,-1.000000,-0.250000,offline entry-time sensitivity; classifier and executions unchanged
StructureTransition,compression_ratio,LOW_COMPRESSION_RATIO,lt,0.40,false,5,-2.000000,-0.400000,offline entry-time sensitivity; classifier and executions unchanged
